"New Hampshire"
2013
"NEIWPCC- http://neiwpcc.org/our-programs/wetlands-aquatic-species/nebawwg/nqa/"
"New Hampshire  , 2013"

"Total Species:",2225
"Native Species:",1574
"Non-native Species:",651
"Total Mean C:",3.4
"Native Mean C:",4.9

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Thalictrum thalictroides",,THTH2,native,7,,,,"rue anemone"
"Thelypteris noveboracensis",,THNO,native,5,,,,"new york fern"
"Thelypteris palustris",,THPA,native,6,,,,"eastern marsh fern"
"Thelypteris simulata",,THSI2,native,8,,,,"bog fern"
"Thermopsis villosa",,THVI,non-native,0,,,,"aarons rod"
"Thinopyrum pycnanthum",,THPY4,non-native,0,,,,"tick quackgrass"
"Thladiantha dubia",,THDU,non-native,0,,,,"manchu tubergourd"
"Thlaspi arvense",,THAR5,non-native,0,,,,"field pennycress"
"Thuja occidentalis",,THOC2,native,5,,,,arborvitae
"Thymus praecox",,THPR,non-native,0,,,,"mother of thyme"
"Thymus praecox ssp. arcticus",,THPRA,non-native,0,,,,"creeping thyme"
"Thymus pulegioides",,THPU5,non-native,0,,,,"lemon thyme"
"Tiarella cordifolia",,TICO,native,7,,,,"heartleaf foamflower"
"Tilia americana",,TIAM,native,5,,,,"american basswood"
"Torreyochloa pallida",,TOPA6,native,5,,,,"pale false mannagrass"
"Torreyochloa pallida var. fernaldii",,TOPAF,native,5,,,,"fernalds false mannagrass"
"Torreyochloa pallida var. pallida",,TOPAP,native,5,,,,"pale false mannagrass"
"Toxicodendron radicans",,TORA2,native,2,,,,"eastern poison ivy"
"Toxicodendron rydbergii",,TORY,native,2,,,,"western poison ivy"
"Toxicodendron vernix",,TOVE,native,6,,,,"poison sumac"
"Tradescantia ohiensis",,TROH,non-native,0,,,,bluejacket
"Tradescantia virginiana",,TRVI,non-native,0,,,,"virginia spiderwort"
"Tragopogon dubius",,TRDU,non-native,0,,,,"yellow salsify"
"Tragopogon lamottei",,TRPR,non-native,0,,,,"yellow goats-beard"
"Tragopogon porrifolius",,TRPO,non-native,0,,,,salsify
"Triadenum fraseri",,TRFR,native,4,,,,"frasers marsh st. johnswort"
"Triadenum virginicum",,TRVI2,native,4,,,,"virginia marsh st. johnswort"
"Triantha glutinosa",,TRGL5,native,7,,,,"sticky tofieldia"
"Trichomanes intricatum",,TRIN13,native,9,,,,"weft fern"
"Trichophorum alpinum",,TRAL7,native,8,,,,"alpine bulrush"
"Trichophorum cespitosum",,TRCE3,native,8,,,,"tufted bulrush"
"Trichostema dichotomum",,TRDI2,native,2,,,,"forked bluecurls"
"Tridens flavus",,TRFL2,native,2,,,,"purpletop tridens"
"Trientalis borealis",,TRBO2,native,4,,,,starflower
"Trifolium arvense",,TRAR4,non-native,0,,,,"rabbitfoot clover"
"Trifolium aureum",,TRAU2,non-native,0,,,,"golden clover"
"Trifolium campestre",,TRCA5,non-native,0,,,,"field clover"
"Trifolium hybridum",,TRHY,non-native,0,,,,"alsike clover"
"Trifolium incarnatum",,TRIN3,non-native,0,,,,"crimson clover"
"Trifolium pratense",,TRPR2,non-native,0,,,,"red clover"
"Trifolium repens",,TRRE3,non-native,0,,,,"white clover"
"Triglochin maritima",,TRMA20,native,7,,,,"seaside arrowgrass"
"Triglochin palustris",,TRPA28,native,7,,,,"marsh arrowgrass"
"Trillium cernuum",,TRCE,native,6,,,,"whip-poor-will flower"
"Trillium erectum",,TRER3,native,6,,,,"red trillium"
"Trillium grandiflorum",,TRGR4,native,6,,,,"white trillium"
"Trillium undulatum",,TRUN,native,6,,,,"painted trillium"
"Triodanis perfoliata",,TRPE4,native,7,,,,"clasping venus looking-glass"
"Triosteum aurantiacum",,TRAU4,native,4,,,,"orangefruit horse-gentian"
"Triphora trianthophora",,TRTR3,native,8,,,,threebirds
"Triplasis purpurea",,TRPU4,native,4,,,,"purple sandgrass"
"Tripleurospermum maritimum",,TRMA17,non-native,0,,,,"false mayweed"
"Tripleurospermum maritimum ssp. maritimum",,TRMAM,non-native,0,,,,"false mayweed"
"Tripleurospermum perforatum",,TRIN11,non-native,0,,,,"scentless false mayweed"
"Trisetum melicoides",,GRME2,native,6,,,,"purple false oat"
"Trisetum spicatum",,TRSP2,native,6,,,,"spike trisetum"
"Triticum aestivum",,TRAE,non-native,0,,,,"common wheat"
"Tsuga canadensis",,TSCA,native,4,,,,"eastern hemlock"
"Tussilago farfara",,TUFA,non-native,0,,,,coltsfoot
"Typha angustifolia",,TYAN,native,3,,,,"narrowleaf cattail"
"Typha latifolia",,TYLA,native,2,,,,"broadleaf cattail"
"Ulmus americana",,ULAM,native,3,,,,"american elm"
"Ulmus pumila",,ULPU,non-native,0,,,,"siberian elm"
"Ulmus rubra",,ULRU,native,5,,,,"slippery elm"
"Urtica dioica",,URDI,native,6,,,,"stinging nettle"
"Urtica dioica ssp. gracilis",,URDIG,non-native,0,,,,"california nettle"
"Urtica urens",,URUR,non-native,0,,,,"dwarf nettle"
"Utricularia cornuta",,UTCO,native,8,,,,"horned bladderwort"
"Utricularia geminiscapa",,UTGE,native,6,,,,"hiddenfruit bladderwort"
"Utricularia gibba",,UTGI,native,5,,,,"humped bladderwort"
"Utricularia intermedia",,UTIN2,native,5,,,,"flatleaf bladderwort"
"Utricularia macrorhiza",,UTMA,native,6,,,,"common bladderwort"
"Utricularia minor",,UTMI,native,6,,,,"lesser bladderwort"
"Utricularia purpurea",,UTPU,native,6,,,,"eastern purple bladderwort"
"Utricularia radiata",,UTRA,native,6,,,,"little floating bladderwort"
"Utricularia resupinata",,UTRE,native,6,,,,"lavender bladderwort"
"Uvularia grandiflora",,UVGR,native,7,,,,"largeflower bellwort"
"Uvularia perfoliata",,UVPE,native,9,,,,"perfoliate bellwort"
"Uvularia sessilifolia",,UVSE,native,5,,,,"sessileleaf bellwort"
"Vaccaria hispanica",,VAHI2,non-native,0,,,,"cow soapwort"
"Vaccinium angustifolium",,VAAN,native,3,,,,"lowbush blueberry"
"Vaccinium boreale",,VABO,native,8,,,,"northern blueberry"
"Vaccinium caesariense",,VACA6,native,6,,,,"new jersey blueberry"
"Vaccinium cespitosum",,VACA13,native,8,,,,"dwarf bilberry"
"Vaccinium corymbosum",,VACO,native,4,,,,"highbush blueberry"
"Vaccinium fuscatum",,VAFU,native,4,,,,"black highbush blueberry"
"Vaccinium macrocarpon",,VAMA,native,6,,,,cranberry
"Vaccinium myrtilloides",,VAMY,native,5,,,,"velvetleaf huckleberry"
"Vaccinium oxycoccos",,VAOX,native,8,,,,"small cranberry"
"Vaccinium pallidum",,VAPA4,native,4,,,,"blue ridge blueberry"
"Vaccinium uliginosum",,VAUL,native,6,,,,"bog blueberry"
"Vaccinium vitis-idaea",,VAVI,native,7,,,,lingonberry
"Vaccinium vitis-idaea ssp. minus",,VAVIM,native,6,,,,"northern mountain cranberry"
"Vahlodea atropurpurea",,VAAT2,native,8,,,,"mountain hairgrass"
"Valeriana officinalis",,VAOF,non-native,0,,,,"garden valerian"
"Valeriana uliginosa",,VAUL2,native,8,,,,"marsh valerian"
"Vallisneria americana",,VAAM3,native,6,,,,"american eelgrass"
"Veratrum viride",,VEVI,native,4,,,,"green false hellebore"
"Verbascum blattaria",,VEBL,non-native,0,,,,"moth mullein"
"Verbascum lychnitis",,VELY,non-native,0,,,,"white mullein"
"Verbascum nigrum",,VENI,non-native,0,,,,"black mullein"
"Verbascum thapsus",,VETH,non-native,0,,,,"common mullein"
"Verbena hastata",,VEHA2,native,3,,,,"swamp verbena"
"Verbena urticifolia",,VEUR,native,2,,,,"white vervain"
"Vernonia noveboracensis",,VENO,native,3,,,,"new york ironweed"
"Veronica agrestis",,VEAG,non-native,0,,,,"green field speedwell"
"Veronica americana",,VEAM2,native,7,,,,"american speedwell"
"Veronica arvensis",,VEAR,non-native,0,,,,"corn speedwell"
"Veronica austriaca",,VEAU,non-native,0,,,,"broadleaf speedwell"
"Veronica chamaedrys",,VECH,non-native,0,,,,"germander speedwell"
"Veronica officinalis",,VEOF2,non-native,0,,,,"common gypsyweed"
"Veronica peregrina",,VEPE2,native,2,,,,neckweed
"Veronica peregrina ssp. xalapensis",,VEPEX2,non-native,0,,,,"hairy purslane speedwell"
"Veronica persica",,VEPE3,non-native,0,,,,"birdeye speedwell"
"Veronica scutellata",,VESC2,native,4,,,,"skullcap speedwell"
"Veronica serpyllifolia",,VESE,native,2,,,,"thymeleaf speedwell"
"Veronica serpyllifolia ssp. humifusa",,VESEH2,native,3,,,,"brightblue speedwell"
"Veronica wormskjoldii",,VEWO2,native,10,,,,"american alpine speedwell"
"Viburnum acerifolium",,VIAC,native,5,,,,"mapleleaf viburnum"
"Viburnum edule",,VIED,native,6,,,,squashberry
"Viburnum lantanoides",,VILA11,native,6,,,,hobblebush
"Viburnum lentago",,VILE,native,6,,,,nannyberry
"Viburnum nudum",,VINU,native,6,,,,possumhaw
"Viburnum nudum var. cassinoides",,VINUC,native,6,,,,withe-rod
"Viburnum opulus",,VIOP,non-native,0,,,,"european cranberrybush"
"Viburnum opulus var. americanum",,VIOPA2,native,6,,,,"american cranberrybush"
"Viburnum rafinesqueanum",,VIRA,native,7,,,,"downy arrowwood"
"Viburnum recognitum",,VIDEL,native,4,,,,"southern arrowwood"
"Vicia cracca",,VICR,non-native,0,,,,"bird vetch"
"Vicia hirsuta",,VIHI,non-native,0,,,,"tiny vetch"
"Vicia sativa",,VISA,non-native,0,,,,"garden vetch"
"Vicia sepium",,VISE,non-native,0,,,,"bush vetch"
"Vicia tetrasperma",,VITE,non-native,0,,,,"lentil vetch"
"Vicia villosa",,VIVI,non-native,0,,,,"winter vetch"
"Vinca minor",,VIMI2,non-native,0,,,,"common periwinkle"
"Viola adunca",,VIAD,native,3,,,,"hookedspur violet"
"Viola adunca var. adunca",,VIADA,native,3,,,,"hookedspur violet"
"Viola arvensis",,VIAR,non-native,0,,,,"european field pansy"
"Viola blanda",,VIBL,native,3,,,,"sweet white violet"
"Viola blanda var. palustriformis",,VIBLP,native,3,,,,"sweet white violet"
"Viola canadensis",,VICA4,native,7,,,,"canadian white violet"
"Viola cucullata",,VICU,native,3,,,,"marsh blue violet"
"Viola labradorica",,VILA10,native,3,,,,"alpine violet"
"Viola lanceolata",,VILA4,native,3,,,,"bog white violet"
"Viola macloskeyi",,VIMA2,native,3,,,,"small white violet"
"Viola macloskeyi ssp. pallens",,VIMAP3,native,3,,,,"smooth white violet"
"Viola nephrophylla",,VINE,native,5,,,,"northern bog violet"
"Viola novae-angliae",,VINO,native,3,,,,"new england blue violet"
"Viola palustris",,VIPA4,native,8,,,,"marsh violet"
"Viola pedata",,VIPE,native,3,,,,"birdfoot violet"
"Viola pubescens",,VIPU3,native,7,,,,"downy yellow violet"
"Viola pubescens var. pubescens",,VIPUP2,native,7,,,,"downy yellow violet"
"Viola renifolia",,VIRE2,native,4,,,,"white violet"
"Viola rostrata",,VIRO,native,7,,,,"longspur violet"
"Viola rotundifolia",,VIRO2,native,4,,,,"roundleaf yellow violet"
"Viola sagittata",,VISA2,native,2,,,,"arrowleaf violet"
"Viola selkirkii",,VISE2,native,6,,,,"selkirks violet"
"Viola septentrionalis",,VISO,native,3,,,,"common blue violet"
"Viola sororia",,VISO,native,3,,,,"common blue violet"
"Viola striata",,VIST3,non-native,0,,,,"striped cream violet"
"Viola tricolor",,VITR,non-native,0,,,,"johnny jumpup"
"Viola xpalmata",,VIPA18,native,4,,,,"early blue violet"
"Vitis aestivalis",,VIAE,native,4,,,,"summer grape"
"Vitis labrusca",,VILA8,native,4,,,,"fox grape"
"Vitis riparia",,VIRI,native,4,,,,"riverbank grape"
"Vulpia myuros",,VUMY,non-native,0,,,,"rat-tail fescue"
"Vulpia octoflora",,VUOC,native,2,,,,"sixweeks fescue"
"Waldsteinia fragarioides",,WAFR,native,7,,,,"appalachian barren strawberry"
"Wisteria floribunda",,WIFL,non-native,0,,,,"japanese wisteria"
"Wolffia borealis",,WOBO,native,4,,,,"northern watermeal"
"Wolffia columbiana",,WOCO,native,4,,,,"columbian watermeal"
"Woodsia glabella",,WOGL,native,10,,,,"smooth woodsia"
"Woodsia ilvensis",,WOIL,native,7,,,,"rusty woodsia"
"Woodsia obtusa",,WOOB2,native,8,,,,"bluntlobe cliff fern"
"Woodwardia areolata",,WOAR,native,9,,,,"netted chainfern"
"Woodwardia virginica",,WOVI,native,7,,,,"virginia chainfern"
"Xanthium spinosum",,XASP2,non-native,0,,,,"spiny cocklebur"
"Xanthium strumarium",,XAST,native,3,,,,"rough cocklebur"
"Xanthium strumarium var. canadense",,XAST,native,2,,,,"rough cocklebur"
"Xyris difformis",,XYDI,native,7,,,,"bog yelloweyed grass"
"Xyris montana",,XYMO,native,7,,,,"northern yelloweyed grass"
"Xyris torta",,XYTO,native,7,,,,"slender yelloweyed grass"
"Zannichellia palustris",,ZAPA,native,8,,,,"horned pondweed"
"Zanthoxylum americanum",,ZAAM,native,2,,,,"common pricklyash"
"Zizania aquatica",,ZIAQ,native,4,,,,"annual wildrice"
"Zizania palustris",,ZIPA3,native,5,,,,"northern wildrice"
"Zizia aurea",,ZIAU,native,3,,,,"golden zizia"
"Zostera marina",,ZOMA,native,8,,,,seawrack
