Acronym,Scientific Name (NWPL/Mohlenbrock/Wilhelm & Rericha),Scientific Name Synonym             (Swink & Wilhelm/ Wilhelm & Rericha),Common Name           (NWPL/Mohlenbrock/Wilhelm & Rericha),Common Name          Synonym                  (Swink & Wilhelm/ Wilhelm & Rericha),Author,Midwest Region Wetland Indicator,NC-NE Region Wetland Indicator,Coefficient of Conservatism,Wetness Coefficient,Habit,Duration  ,Nativity,Scientific Family Name,Common Family Name
PANCLA,Dichanthelium clandestinum,Panicum clandestinum,Deer-Tongue Rosette Grass,DEER-TONGUE GRASS,(L.) Gould,FACW,FACW,4,-1,Grass,Perennial,Native,POACEAE,Grass Family
DICCOM,Dichanthelium commutatum,Panicum commutatum ashei,Variable Rosette Grass,ASHE'S PANIC GRASS,(J.A. Schultes) Gould,FAC,FAC,10,0,Grass,Perennial,Native,POACEAE,Grass Family
PANCOMS,Dichanthelium commutatum,Panicum commutatum ashei,Variable Rosette Grass,ASHE'S PANIC GRASS,(J.A. Schultes) Gould,FAC,FAC,10,0,Grass,Perennial,Native,POACEAE,Grass Family
DICDEA,Dichanthelium deamii,Dichanthelium deamii,Deams Rosette Grass,DEAMS PANIC GRASS,(Hitchc. & Chase) G. Wilh. & Rericha,UPL,UPL,10,2,Grass,Perennial,Native,POACEAE,Grass Family
DICDEP,Dichanthelium depauperatum,Panicum depauperatum,Starved Rosette Grass,STARVED PANIC GRASS,(Muhl.) Gould,UPL,UPL,6,2,Grass,Perennial,Native,POACEAE,Grass Family
PANDEP,Dichanthelium depauperatum,Panicum depauperatum,Starved Rosette Grass,STARVED PANIC GRASS,(Muhl.) Gould,UPL,UPL,6,2,Grass,Perennial,Native,POACEAE,Grass Family
DICDIC,Dichanthelium dichotomum,Panicum lucidum; Panicum microcarpon,Cypress Rosette Grass,FORKED PANIC GRASS; BOG PANIC GRASS; SMALL-FRUITED PANIC GRASS,(L.) Gould,FAC,FAC,10,0,Grass,Perennial,Native,POACEAE,Grass Family
PANLUC,Dichanthelium dichotomum,Panicum lucidum; Panicum microcarpon,Cypress Rosette Grass,FORKED PANIC GRASS; BOG PANIC GRASS; SMALL-FRUITED PANIC GRASS,(L.) Gould,FAC,FAC,10,0,Grass,Perennial,Native,POACEAE,Grass Family
PANMIC,Dichanthelium dichotomum,Panicum lucidum; Panicum microcarpon,Cypress Rosette Grass,FORKED PANIC GRASS; BOG PANIC GRASS; SMALL-FRUITED PANIC GRASS,(L.) Gould,FAC,FAC,10,0,Grass,Perennial,Native,POACEAE,Grass Family
DICHEL,Dichanthelium helleri,Dichanthelium helleri,Hellers Rosette Grass,HELLERS PANIC GRASS,(Nash) Mohlenbr.,UPL,UPL,0,2,Grass,Perennial,Adventive,POACEAE,Grass Family
DICHUA,Dichanthelium huachucae,Dichanthelium huachucae,Old-Field Rosette Grass,OLD-FIELD PANIC GRASS,(Ashe) G. Wilh. & Rericha,UPL,UPL,2,2,Grass,Perennial,Native,POACEAE,Grass Family
DICLAT,Dichanthelium latifolium,Panicum latifolium,Broad-Leaf Rosette Grass,BROAD-LEAVED PANIC GRASS,(L.) Harville,FACU,FACU,8,1,Grass,Perennial,Native,POACEAE,Grass Family
PANLAT,Dichanthelium latifolium,Panicum latifolium,Broad-Leaf Rosette Grass,BROAD-LEAVED PANIC GRASS,(L.) Harville,FACU,FACU,8,1,Grass,Perennial,Native,POACEAE,Grass Family
DICLEI,Dichanthelium leibergii,Panicum leibergii,Leiberg's Rosette Grass,PRAIRIE PANIC GRASS,(Vasey) Freckmann,FACU,FACU,10,1,Grass,Perennial,Native,POACEAE,Grass Family
PANLEI,Dichanthelium leibergii,Panicum leibergii,Leiberg's Rosette Grass,PRAIRIE PANIC GRASS,(Vasey) Freckmann,FACU,FACU,10,1,Grass,Perennial,Native,POACEAE,Grass Family
DICLIN,Dichanthelium linearifolium,Panicum linearifolium,Narrow-Leaf Rosette Grass ,SLENDER-LEAVED PANIC GRASS,(Scribn.) Gould,UPL,UPL,10,2,Grass,Perennial,Native,POACEAE,Grass Family
PANLIE,Dichanthelium linearifolium,Panicum linearifolium,Narrow-Leaf Rosette Grass ,SLENDER-LEAVED PANIC GRASS,(Scribn.) Gould,UPL,UPL,10,2,Grass,Perennial,Native,POACEAE,Grass Family
DICMER,Dichanthelium meridionale,Panicum meridionale,Mat Rosette Grass,MAT PANIC GRASS,(Ashe) Freckm.,UPL,UPL,8,2,Grass,Perennial,Native,POACEAE,Grass Family
PANMER,Dichanthelium meridionale,Panicum meridionale,Mat Rosette Grass,MAT PANIC GRASS,(Ashe) Freckm.,UPL,UPL,8,2,Grass,Perennial,Native,POACEAE,Grass Family
DICOLI,Dichanthelium oligosanthes,Panicum oligosanthes; Panicum oligosanthes scribnerianum; Dichanthelium scribnerianum,Heller's Rosette Grass,FEW-FLOWERED PANIC GRASS; SCRIBNER'S PANIC GRASS,(J.A. Schultes) Gould,FACU,FACU,4,1,Grass,Perennial,Native,POACEAE,Grass Family
PANOLI,Dichanthelium oligosanthes,Panicum oligosanthes; Panicum oligosanthes scribnerianum; Dichanthelium scribnerianum,Heller's Rosette Grass,FEW-FLOWERED PANIC GRASS; SCRIBNER'S PANIC GRASS,(J.A. Schultes) Gould,FACU,FACU,4,1,Grass,Perennial,Native,POACEAE,Grass Family
PANOLIS,Dichanthelium oligosanthes ,Panicum oligosanthes; Panicum oligosanthes scribnerianum; Dichanthelium scribnerianum,Heller's Rosette Grass,FEW-FLOWERED PANIC GRASS; SCRIBNER'S PANIC GRASS,(J.A. Schultes) Gould,FACU,FACU,4,1,Grass,Perennial,Native,POACEAE,Grass Family
DICSCR,Dichanthelium oligosanthes ,Panicum oligosanthes; Panicum oligosanthes scribnerianum; Dichanthelium scribnerianum,Heller's Rosette Grass,FEW-FLOWERED PANIC GRASS; SCRIBNER'S PANIC GRASS,(J.A. Schultes) Gould,FACU,FACU,4,1,Grass,Perennial,Native,POACEAE,Grass Family
DICOVA,Dichanthelium ovale var. addisonii,Panicum commonsianum; Panicum commonsianum addisonii,Egg-Leaf Rosette Grass,COMMON'S PANIC GRASS; ADDISON'S PANIC GRASS,(Nash) Gould & C.A. Clark,FACU,FACU,10,1,Grass,Perennial,Native,POACEAE,Grass Family
PANCOM,Dichanthelium ovale var. addisonii,Panicum commonsianum; Panicum commonsianum addisonii,Egg-Leaf Rosette Grass,COMMON'S PANIC GRASS; ADDISON'S PANIC GRASS,(Nash) Gould & C.A. Clark,FACU,FACU,10,1,Grass,Perennial,Native,POACEAE,Grass Family
PANCOMA,Dichanthelium ovale var. addisonii,Panicum commonsianum; Panicum commonsianum addisonii,Egg-Leaf Rosette Grass,COMMON'S PANIC GRASS; ADDISON'S PANIC GRASS,(Nash) Gould & C.A. Clark,FACU,FACU,10,1,Grass,Perennial,Native,POACEAE,Grass Family
DICPER,Dichanthelium perlongum,Panicum perlongum,Long-Stalk Rosette Grass,LONG-STALKED PANIC GRASS,(Nash) Freckm. ,UPL,UPL,10,2,Grass,Perennial,Native,POACEAE,Grass Family
PANPER,Dichanthelium perlongum,Panicum perlongum,Long-Stalk Rosette Grass,LONG-STALKED PANIC GRASS,(Nash) Freckm. ,UPL,UPL,10,2,Grass,Perennial,Native,POACEAE,Grass Family
DICPOR,Dichanthelium portoricense,Panicum columbianum,Hemlock Rosette Grass,HEMLOCK PANIC GRASS,(Desv. ex Hamilton) B.F. Hansen & Wunderlin,FACU,FACU,8,1,Grass,Perennial,Native,POACEAE,Grass Family
PANCOL,Dichanthelium portoricense,Panicum columbianum,Hemlock Rosette Grass,HEMLOCK PANIC GRASS,(Desv. ex Hamilton) B.F. Hansen & Wunderlin,FACU,FACU,8,1,Grass,Perennial,Native,POACEAE,Grass Family
DICSPH,Dichanthelium sphaerocarpon,Panicum sphaerocarpon,Round-Seed Rosette Grass,ROUND-FRUITED PANIC GRASS,(Ell.) Gould,FACU,FACU,7,1,Grass,Annual,Native,POACEAE,Grass Family
PANSPH,Dichanthelium sphaerocarpon,Panicum sphaerocarpon,Round-Seed Rosette Grass,ROUND-FRUITED PANIC GRASS,(Ell.) Gould,FACU,FACU,7,1,Grass,Annual,Native,POACEAE,Grass Family
DICSPHI,Dichanthelium sphaerocarpon var. isophyllum,Panicum polyanthes,Round-Seed Rosette Grass,ROUND-FRUITED PANIC GRASS; SMALL-FRUITED PANIC GRASS,(Scribn.) Gould & C.A. Clark,FACU,FACU,8,1,Grass,Perennial,Native,POACEAE,Grass Family
PANPOL,Dichanthelium sphaerocarpon var. isophyllum,Panicum polyanthes,Round-Seed Rosette Grass,ROUND-FRUITED PANIC GRASS; SMALL-FRUITED PANIC GRASS,(Scribn.) Gould & C.A. Clark,FACU,FACU,8,1,Grass,Perennial,Native,POACEAE,Grass Family
DICSPHS,Dichanthelium sphaerocarpon var. sphaerocarpon,Panicum sphaerocarpon,Round-Seed Rosette Grass,ROUND-FRUITED PANIC GRASS,(Ell.) Gould,FACU,FACU,8,1,Grass,Perennial,Native,POACEAE,Grass Family
DICSPR,Dichanthelium spretum,Panicum spretum,Sand Rosette Grass,SAND PANIC GRASS,(Schult.) Freckmann,UPL,UPL,10,2,Grass,Perennial,Native,POACEAE,Grass Family
PANSPR,Dichanthelium spretum,Panicum spretum,Sand Rosette Grass,SAND PANIC GRASS,(Schult.) Freckmann,UPL,UPL,10,2,Grass,Perennial,Native,POACEAE,Grass Family
DICWIL,Dichanthelium wilcoxianum,Panicum wilcoxianum,Wilcox’s Rosette Grass,WILCOX'S PANIC GRASS,(Vasey) Freckm.,UPL,UPL,10,2,Grass,Perennial,Native,POACEAE,Grass Family
PANWIL,Dichanthelium wilcoxianum,Panicum wilcoxianum,Wilcox’s Rosette Grass,WILCOX'S PANIC GRASS,(Vasey) Freckm.,UPL,UPL,10,2,Grass,Perennial,Native,POACEAE,Grass Family
DICALB,Dictamnus albus,DICTAMNUS ALBUS,Gas Plant ,GAS PLANT,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,RUTACEAE,Rue Family
DIDDIA,Didiplis diandra,Peplis diandra,Water Purslane,WATER PURSLANE,(Nutt. ex DC.) Wood,OBL,OBL,10,-2,Forb,Perennial,Native,LYTHRACEAE,Loosestrife Family
PEPDIA,Didiplis diandra,Peplis diandra,Water Purslane,WATER PURSLANE,(Nutt. ex DC.) Wood,OBL,OBL,10,-2,Forb,Perennial,Native,LYTHRACEAE,Loosestrife Family
DIELON,Diervilla lonicera,Diervilla lonicera,Dwarf Honeysuckle,DWARF HONEYSUCKLE,Mill,UPL,UPL,10,2,Shrub,Perennial,Native,CAPRIFOLIACEAE,Honeysuckle Family
DIGGRA,Digitalis grandiflora,DIGITALIS GRANDIFLORA,Yellow Foxglove,YELLOW FOXGLOVE,Mill,UPL,UPL,0,2,Forb,Perennial,Adventive,SCROPHULARIACEAE,Figwort Family
DIGCIL,Digitaria ciliaris,DIGITARIA SANGUINALIS CILIARIS,Southern Crab Grass,CILIATE CRAB GRASS,(Retz.) Koel.,FACU,FACU,0,1,Grass,Annual,Adventive,POACEAE,Grass Family
DIGSANC,Digitaria ciliaris,DIGITARIA SANGUINALIS CILIARIS,Southern Crab Grass,CILIATE CRAB GRASS,(Retz.) Koel.,FACU,FACU,0,1,Grass,Annual,Adventive,POACEAE,Grass Family
DIGFIL,Digitaria ﬁliformis,Digitaria filiformis,Slender Crabgrass,SLENDER CRAB GRASS,(L.) Koel.,UPL,UPL,10,2,Grass,Annual,Native,POACEAE,Grass Family
DIGISC,Digitaria ischaemum,DIGITARIA ISCHAEMUM,Smooth Crab Grass,SMOOTH CRAB GRASS,(Schreb. ex Schweig.) Schreb. ex Muhl.,FACU,FACU,0,1,Grass,Annual,Adventive,POACEAE,Grass Family
DIGSAN,Digitaria sanguinalis,DIGITARIA SANGUINALIS,Hairy Crab Grass,HAIRY CRAB GRASS,(L.) Scop.,FACU,FACU,0,1,Grass,Annual,Adventive,POACEAE,Grass Family
DIOTER,Diodia teres,DIODIA TERES SETIFERA,Poorjoe,BUTTONWEED,Walt.,FACU,FACU,0,1,Forb,Annual,Adventive,RUBIACEAE,Madder Family
DIOVIL,Dioscorea villosa,Dioscorea villosa,Wild Yam,WILD YAM,L.,FAC,FAC,5,0,Vine,Perennial,Native,DIOSCOREACEAE,Yam Family
DIOVIR,Diospyros virginiana,Diospyros virginiana,Common Persimmon,COMMON PERSIMMON,L.,FAC,FAC,0,0,Tree,Perennial,Adventive,EBENACEAE,Ebony Family
DIPCOM,Diphasiastrum complanatum,Lycopodium complanatum flabelliforme; Diphasiastrum digitatum,Trailing Ground-Pine,TRAILING GROUND PINE,(L.) Holub,FACU,FACU,4,1,Fern,Perennial,Native,LYCOPODIACEAE,Clubmoss Family
LYCCOM,Diphasiastrum complanatum,Lycopodium complanatum flabelliforme; Diphasiastrum digitatum,Trailing Ground-Pine,TRAILING GROUND PINE,(L.) Holub,FACU,FACU,4,1,Fern,Perennial,Native,LYCOPODIACEAE,Clubmoss Family
DIPDIG,Diphasiastrum complanatum,Lycopodium complanatum flabelliforme; Diphasiastrum digitatum,Trailing Ground-Pine,TRAILING GROUND PINE,(L.) Holub,FACU,FACU,4,1,Fern,Perennial,Native,LYCOPODIACEAE,Clubmoss Family
DIPTRI,Diphasiastrum tristachyum,Lycopodium tristachyum,Ground Cedar,RUNNING GROUND CEDAR,(Pursh) Holub,UPL,UPL,8,2,Fern,Perennial,Native,LYCOPODIACEAE,Clubmoss Family
LYCTRI,Diphasiastrum tristachyum,Lycopodium tristachyum,Ground Cedar,RUNNING GROUND CEDAR,(Pursh) Holub,UPL,UPL,8,2,Fern,Perennial,Native,LYCOPODIACEAE,Clubmoss Family
DIPHAB,Diphasiastrum X habereri,Diphasiastrum X habereri,Haberers Ground-Pine,HABERERS GROUND CEDAR,(House) Holub,UPL,UPL,5,2,Fern,Perennial,Native,LYCOPODIACEAE,Clubmoss Family
DIPFUS,Diplachne fusca,LEPTOCHLOA ACUMINATA; LEPTOCHLOA FASCULARIS,Bearded Sprangletop,GREATER SALT-MEADOW GRASS,(L.) Beauv.ex Roemer & J.A. Schultes,OBL,OBL,0,-2,Grass,Annual,Adventive,POACEAE,Grass Family
LEPACU,Diplachne fusca,LEPTOCHLOA ACUMINATA; LEPTOCHLOA FASCULARIS,Bearded Sprangletop,GREATER SALT-MEADOW GRASS,(L.) Beauv.ex Roemer & J.A. Schultes,OBL,OBL,0,-2,Grass,Annual,Adventive,POACEAE,Grass Family
LEPFAS,Diplachne fusca,LEPTOCHLOA ACUMINATA; LEPTOCHLOA FASCULARIS,Bearded Sprangletop,GREATER SALT-MEADOW GRASS,(L.) Beauv.ex Roemer & J.A. Schultes,OBL,OBL,0,-2,Grass,Annual,Adventive,POACEAE,Grass Family
ATHPYC,Diplazium pycnocarpon,Athyrium pycnocarpon; Homalosorus pycnocarpos,Glade Fern,NARROW-LEAVED SPLEENWORT,(Spreng.) Broun,FACU,FAC,10,1,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DIPPYC,Diplazium pycnocarpon,Athyrium pycnocarpon; Homalosorus pycnocarpos,Glade Fern,NARROW-LEAVED SPLEENWORT,(Spreng.) Broun,FACU,FAC,10,1,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
HOMPYC,Diplazium pycnocarpon,Athyrium pycnocarpon; Homalosorus pycnocarpos,Glade Fern,NARROW-LEAVED SPLEENWORT,(Spreng.) Broun,FACU,FAC,10,1,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DIPMUR,Diplotaxis muralis,DIPLOTAXIS MURALIS,Wall Rocket,WALL ROCKET,(L.) DC. ,UPL,UPL,0,2,Forb,Annual,Adventive,BRASSICACEAE,Mustard Family
DIPTEN,Diplotaxis tenuifolia,DIPLOTAXIS TENUIFOLIA,Sand Rocket,SAND ROCKET,(L.) DC. ,UPL,UPL,0,2,Shrub,Perennial,Adventive,BRASSICACEAE,Mustard Family
DIPFUL,Dipsacus fullonum,DIPSACUS SYLVESTRIS,Fuller's Teasel,COMMON TEASEL,L.,FACU,FACU,0,1,Forb,Biennial,Adventive,DIPSACACEAE,Teasel Family
DIPSYL,Dipsacus fullonum,DIPSACUS SYLVESTRIS,Fuller's Teasel,COMMON TEASEL,L.,FACU,FACU,0,1,Forb,Biennial,Adventive,DIPSACACEAE,Teasel Family
DIPLAC,Dipsacus laciniatus,DIPSACUS LACINIATUS,Cut-Leaf Teasel,CUT-LEAVED TEASEL,L.,UPL,FACU,0,2,Forb,Biennial,Adventive,DIPSACACEAE,Teasel Family
DIRPAL,Dirca palustris,Dirca palustris,Leatherwood,LEATHERWOOD,L.,UPL,UPL,10,2,Shrub,Perennial,Native,THYMELAEACEAE,Thymelaea Family
DISSPI,Distichlis spicata var. stricta,DISTICHLIS STRICTA,Salt Grass,SALT GRASS,(Torr.) Scribn. ,UPL,UPL,0,2,Grass,Perennial,Adventive,POACEAE,Grass Family
DISSTR,Distichlis spicata var. stricta,DISTICHLIS STRICTA,Salt Grass,SALT GRASS,(Torr.) Scribn. ,UPL,UPL,0,2,Grass,Perennial,Adventive,POACEAE,Grass Family
DODMEA,Dodecatheon meadia,Dodecatheon meadia,Pride-of-Ohio,SHOOTING STAR,L.,FACU,FACU,6,1,Forb,Perennial,Native,PRIMULACEAE,Primrose Family
ASTUMB,Doellingeria umbellata,Aster umbellatus,Parasol White-Top,FLAT-TOP ASTER,(P. Mill.) Nees,FACW,FACW,8,-1,Forb,Perennial,Native,ASTERACEAE,Aster Family
DOEUMB,Doellingeria umbellata,Aster umbellatus,Parasol White-Top,FLAT-TOP ASTER,(P. Mill.) Nees,FACW,FACW,8,-1,Forb,Perennial,Native,ASTERACEAE,Aster Family
DOEUMBP,Doellingeria umbellata var. pubens,Aster umbellatus,Parasol White-Top,FLAT-TOP ASTER,(Gray) Britt.,FACW,FACW,8,-1,Forb,Perennial,Native,ASTERACEAE,Aster Family
DOEUMBU,Doellingeria umbellata var. umbellata,Aster umbellatus,Parasol White-Top,FLAT-TOP ASTER,(P. Mill.) Nees,FACW,FACW,8,-1,Forb,Perennial,Native,ASTERACEAE,Aster Family
DRABRA,Draba brachycarpa,DRABA BRACHYCARPA,Short-Fruit Whitlow-Grass,SHORT-FRUITED WHITLOW GRASS,Nutt. ,UPL,UPL,0,2,Forb,Annual,Adventive,BRASSICACEAE,Mustard Family
DRAREP,Draba reptans,Draba reptans,Common Whitlow-Grass,COMMON WHITLOW GRASS,(Lam.) Fern.,UPL,UPL,4,2,Forb,Annual,Native,BRASSICACEAE,Mustard Family
DRAREPR,Draba reptans var. reptans,Draba reptans,Common Whitlow-Grass,COMMON WHITLOW GRASS,(Lam.) Fern.,UPL,UPL,4,2,Forb,Annual,Native,BRASSICACEAE,Mustard Family
DRAREPS,Draba reptans var. stellifera,Draba reptans,Common Whitlow-Grass,COMMON WHITLOW GRASS,(O. E. Schulz) Abrams,UPL,UPL,4,2,Forb,Annual,Native,BRASSICACEAE,Mustard Family
DRAVER,Draba verna,DRABA VERNA,Vernal Whitlow-Grass,VERNAL WHITLOW GRASS,L.,UPL,UPL,0,2,Forb,Annual,Adventive,BRASSICACEAE,Mustard Family
DRAPAR,Dracocephalum parviflorum,DRACOCEPHALUM PARVIFLORUM,American Dragonhead,AMERICAN DRAGONHEAD,Nutt.,FACU,FACU,0,1,Forb,Biennial,Adventive,LAMIACEAE,Mint Family
DRAAMP,Dracopis amplexicaulis,RUDBECKIA AMPLEXICAULIS,Clasping-Coneflower,ANNUAL BLACK-EYED SUSAN,(Vahl) Cass.,FACU,FACU,0,1,Forb,Annual,Adventive,ASTERACEAE,Aster Family
RUDAMP,Dracopis amplexicaulis,RUDBECKIA AMPLEXICAULIS,Clasping-Coneflower,ANNUAL BLACK-EYED SUSAN,(Vahl) Cass.,FACU,FACU,0,1,Forb,Annual,Adventive,ASTERACEAE,Aster Family
DROINT,Drosera intermedia,Drosera intermedia,Spoon-Leaf Sundew,NARROW-LEAVED SUNDEW,Hayne,OBL,OBL,10,-2,Forb,Perennial,Native,DROSERACEAE,Sundew Family
DROROT,Drosera rotundifolia,Drosera rotundifolia,Round-Leaf Sundew,ROUND-LEAVED SUNDEW,L.,OBL,OBL,10,-2,Forb,Perennial,Native,DROSERACEAE,Sundew Family
DRYARG,Drymocallis arguta,Potentilla arguta,Prairie Cinquefoil,PRAIRIE CINQUEFOIL,(Pursh) Rydb.,FACU,FACU,10,1,Forb,Perennial,Native,ROSACEAE,Rose Family
POTARG,Drymocallis arguta,Potentilla arguta,Prairie Cinquefoil,PRAIRIE CINQUEFOIL,(Pursh) Rydb.,FACU,FACU,10,1,Forb,Perennial,Native,ROSACEAE,Rose Family
DRYCAR,Dryopteris carthusiana,Dryopteris spinulosa,Spinulose Wood Fern,SPINULOSE SHIELD FERN,(Vill.) H.P. Fuchs,FACW,FACW,8,-1,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYSPI,Dryopteris carthusiana,Dryopteris spinulosa,Spinulose Wood Fern,SPINULOSE SHIELD FERN,(Vill.) H.P. Fuchs,FACW,FACW,8,-1,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYCEL,Dryopteris celsa,Dryopteris celsa,Log Fern,LOG FERN,"(Wm. Palmer) Knowlt., Palmer & Pollard ex Small",OBL,OBL,10,-2,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYCLI,Dryopteris clintoniana,Dryopteris clintoniana,Clinton's Wood Fern,CLINTON'S WOOD FERN,(D.C. Eat.) Dowell,FACW,FACW,10,-1,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYCRI,Dryopteris cristata,Dryopteris cristata,Crested Wood Fern,CRESTED WOOD FERN,(L.) Gray,OBL,OBL,10,-2,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYFIL,Dryopteris ﬁlix-mas,Dryopteris filix-mas,Male Fern,MALE FERN,(L.) Schott. ,UPL,UPL,10,2,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYGOL,Dryopteris goldiana,Dryopteris goldiana,Goldie's Wood Fern,GOLDIE FERN,(Hook. ex Goldie) Gray,FAC,FAC,10,0,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYINT,Dryopteris intermedia,Dryopteris intermedia,Evergreen Wood Fern,FLORIST'S WOOD FERN,(Muhl. ex Willd.) Gray,FAC,FAC,9,0,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYMAR,Dryopteris marginalis,Dryopteris marginalis,Marginal Wood Fern,MARGINAL SHIELD FERN,(L.) Gray,FACU,FACU,10,1,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYBOO,Dryopteris X boottii,Dryopteris X boottii,Bootts Wood Fern ,BOOTTS SHIELD FERN,(Tuckerman) Underwood (pro sp.),FACW,FACW,10,-1,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYTRI,Dryopteris X triploidea,Dryopteris X triploidea,Hybrid Wood Fern,HYBRID WOOD FERN,Wherry,FAC,FAC,8,0,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DRYULI,Dryopteris X uliginosa,Dryopteris X uliginosa,Swamp Wood Fern,SWAMP SHIELD FERN,(A. Braun ex Dowell) Druce,FAC,FAC,10,0,Fern,Perennial,Native,DRYOPTERIDACEAE,Shield Fern Family
DULARU,Dulichium arundinaceum,Dulichium arundinaceum,Three-Way Sedge,THREE-WAY SEDGE,(L.) Britt.,OBL,OBL,10,-2,Sedge,Perennial,Native,CYPERACEAE,Sedge Family
CHEAMB,Dysphania ambrosioides,CHENOPODIUM AMBROSIOIDES,Mexican-Tea,MEXICAN TEA,(L.) Mosyakin & Clemants,FAC,FACU,0,0,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
DYSAMB,Dysphania ambrosioides,CHENOPODIUM AMBROSIOIDES,Mexican-Tea,MEXICAN TEA,(L.) Mosyakin & Clemants,FAC,FACU,0,0,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
CHEBOT,Dysphania botrys,CHENOPODIUM BOTRYS,Jerusalem-Oak,JERUSALEM OAK,(L.) Mosyakin & Clemants,FACU,FACU,0,1,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
DYSBOT,Dysphania botrys,CHENOPODIUM BOTRYS,Jerusalem-Oak,JERUSALEM OAK,(L.) Mosyakin & Clemants,FACU,FACU,0,1,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
DYSPAP,Dyssodia papposa,DYSSODIA PAPPOSA,Fetid Marigold,FETID MARIGOLD,(Vent.) A. Hitchc.,UPL,UPL,0,2,Forb,Annual,Adventive,ASTERACEAE,Aster Family
ECHPAL,Echinacea pallida,Echinacea pallida,Pale Coneﬂower,PURPLE CONEFLOWER,(Nutt.) Nutt. ,UPL,UPL,10,2,Forb,Perennial,Native,ASTERACEAE,Aster Family
ECHPUR,Echinacea purpurea,Echinacea purpurea,Purple Coneﬂower,BROAD-LEAVED PURPLE CONEFLOWER,(L.) Moench.,UPL,UPL,10,2,Forb,Perennial,Native,ASTERACEAE,Aster Family
ECHCOL,Echinochloa colona,ECHINOCHLOA COLONUM,Jungle-Rice,JUNGLE RICE,(L.) Link,FACW,FACW,0,-1,Grass,Annual,Adventive,POACEAE,Grass Family
ECHCRU,Echinochloa crus-galli,Echinochloa crusgalli,Large Barnyard Grass,BARNYARD GRASS,(L.) Beauv.,FACW,FAC,0,-1,Grass,Annual,Native,POACEAE,Grass Family
ECHESC,Echinochloa esculenta,ECHINOCHLOA ESCULENTA,Japanese Water Grass,JAPANESE MILLET,(A. Braun) H. Scholtz,FACW,FACW,0,-1,Grass,Annual,Adventive,POACEAE,Grass Family
ECHFRU,Echinochloa frumentacea,ECHINOCHLOA FRUMENTACEA,Japanese-Millet,WHITE PANIC GRASS,Link,FACU,FACU,0,1,Grass,Annual,Adventive,POACEAE,Grass Family
ECHMUR,Echinochloa muricata,Echinochloa muricata,Rough Barnyard Grass,SPINY BARNYARD GRASS,(Beauv.) Fern.,OBL,OBL,4,-2,Grass,Annual,Native,POACEAE,Grass Family
ECHMURM,Echinochloa muricata var. microstachya ,Echinochloa muricata var. microstachya ,Rough Barnyard Grass,SMALL-FLOWERED SPINY BARNYARD GRASS,,OBL,OBL,2,-2,Grass,Annual,Native,POACEAE,Grass Family
ECHWAL,Echinochloa walteri,Echinochloa walteri,Long-Awn Cock's-Spur Grass,SALT-MARSH COCKSPUR GRASS,(Pursh) Heller,OBL,OBL,8,-2,Grass,Annual,Native,POACEAE,Grass Family
ECHLOB,Echinocystis lobata,Echinocystis lobata,Wild Cucumber,WILD CUCUMBER,(Michx.) Torr. & Gray,FACW,FACW,4,-1,Vine,Annual,Native,CUCURBITACEAE,Gourd Family
ECHBER,Echinodorus berteroi,Echinodorus berteroi var. lanceolatus,Upright Burrhead,HEART-LEAVED BURHEAD,(Spreng.) Fassett,OBL,OBL,4,-2,Forb,Perennial,Native,ALISMATACEAE,Water Plantain Family
ECHSPH,Echinops sphaerocephalus,ECHINOPS SPHAEROCEPHALUS,Globe Thistle,GLOBE THISTLE,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
ECHVUL,Echium vulgare,ECHIUM VULGARE,Viper’s Bugloss,VIPER'S BUGLOSS,L.,UPL,UPL,0,2,Forb,Biennial,Adventive,BORAGINACEAE,Borage Family
ECLPRO,Eclipta prostrata,ECLIPTA PROSTRATA,False Daisy,YERBA DE TAJO,(L.) L.,FACW,FACW,0,-1,Forb,Annual,Adventive,ASTERACEAE,Aster Family
