Taxa Name,Nativity,Duration,FL Wetland Status,C of C Value
Panicum rigidulum pubescens (syn. Panicum longifolium),Native,Perennial,FACW,5.47
Panicum scabriusculum (syn. Dichanthelium scabriusculum),Native,Perennial,OBL,5.5
Panicum spretum,Native,Perennial,FACW,6.63
Panicum tenerum,Native,Perennial,OBL,8.67
Panicum verrucosum,Native,Annual,FACW,6.83
Panicum virgatum,Native,Perennial,FACW,5.44
Parthenocissus quinquefolia,Native,Perennial,Not listed,3.43
Paspalidium geminatum,Native,Perennial,OBL,5.5
Paspalum acuminatum,Exotic,Perennial,FACW,1.06
Paspalum conjugatum,Exotic,Perennial,FAC,3.84
Paspalum dilatatum,Exotic,Perennial,FAC,4.33
Paspalum distichum,Native,Perennial,OBL,5.54
Paspalum floridanum,Native,Perennial,FACW,6.11
Paspalum laeve,Native,Perennial,FACW,5.79
Paspalum monostachyum,Native,Perennial,OBL,9.8
Paspalum notatum,Exotic,Perennial,Not listed,0.14
Paspalum praecox,Native,Perennial,OBL,6.5
Paspalum repens,Native,Annual,OBL,5.6
Paspalum setaceum,Native,Perennial,FAC,3.44
Paspalum urvillei,Exotic,Perennial,FAC,0
Passiflora incarnata,Native,Perennial,Not listed,2.89
Peltandra,Native,Perennial,OBL,7.5
Peltandra virginica,Native,Perennial,OBL,7.5
Pennisetum purpureum,Exotic,Perennial,FAC,0
Persea borbonia,Native,Perennial,Not listed,8.02
Persea borbonia humilis,Native,Perennial,Not listed,7.43
Persea palustris,Native,Perennial,OBL,7
Persicaria glabra (syn. Polygonum densiflorum),Native,Perennial,OBL,4.5
Persicaria hirsute (syn. Polygonum hirsutum),Native,Perennial,OBL,3
Persicaria hydropiperoides (syn. Polygonum hydropiperoides),Native,Perennial,OBL,2.5
Persicaria lapathifolia (syn. Polygonum lapthifolium),Exotic,Annual,OBL,1.95
Persicaria meisneriana var. beyrichiana (syn. Polygonum meisnerianum),Native,Perennial,OBL,3
Persicaria pensylvanica (syn. Polygonum pensylvanicum),Native,Annual,OBL,2.13
Persicaria punctata (syn. Polygonum punctatum),Native,Perennial,OBL,3
Persicaria setacea (Polygonum setaceum),Native,Perennial,OBL,2.81
Persicaria virginiana (syn. Polygonum virginianum),Native,Perennial,FACW,2.75
Phanopyrum gymnocarpon,Native,Perennial,OBL,4.25
Phlebodium aureum,Native,Perennial,Not listed,6.85
Phragmites australis,Native,Perennial,OBL,4.39
Phyla nodiflora,Native,Perennial,FAC,1.92
Phyllanthus urinaria,Exotic,Annual,FAC,0.22
Phytolacca americana,Native,Perennial,Not listed,2.09
Pilea microphylla,Native,Annual,FACW,0.64
Pilea pumila,Native,Annual,FACW,4.29
Pinus clausa,Native,Perennial,Not listed,none
Pinus echinata,Native,Perennial,Not listed,2.78
Pinus elliottii,Native,Perennial,Not listed,4.21
Pinus glabra,Native,Perennial,FACW,5
Pinus palustris,Native,Perennial,Not listed,4.77
Pinus taeda,Native,Perennial,Not listed,5.34
Pistia stratiotes,Exotic,Perennial,OBL,0
Platanus occidentalis,Native,Perennial,FACW,4.36
Pluchea baccharis (syn. Pluchea rosea),Native,Perennial,FACW,5.45
Pluchea camphorata,Native,Annual,FACW,3
Pluchea foetida,Native,Perennial,FACW,6.65
Pluchea longifolia,Native,Perennial,FACW,5.85
Pluchea odorata,Native,Annual/Perennial,FACW,4.96
Polygala cymosa,Native,Biennial,OBL,7.67
Polygala rugelii,Native,Annual/Biennial,FACW,8.17
Polygonella gracilis,Native,Annual,Not listed,4.77
Polypogon monspeliensis,Exotic,Annual,FAC,1
Polypremum procumbens,Native,Perennial,FAC,1.71
Pontederia cordata,Native,Perennial,OBL,5.38
Pontederia rotundifolia,Exotic,Perennial,OBL,0
Portulaca amilis,Exotic,Annual,Not listed,0.87
Potamogeton diversifolius,Native,Perennial,OBL,6
Potamogeton illinoensis,Native,Perennial,OBL,6.64
Potamogeton pectinatus,Native,Perennial,OBL,7.8
Potamogeton pusillus,Native,Perennial,OBL,7.8
Proserpinaca palustris,Native,Perennial,OBL,5.85
Proserpinaca pectinata,Native,Perennial,OBL,5.5
Prunus caroliniana,Native,Perennial,Not listed,4.03
Prunus serotina,Native,Perennial,Not listed,3.9
Psychotria nervosa,Native,Perennial,FAC,3
Pteridium aquilinum,Native,Perennial,Not listed,3.9
Pteris tripartita,Exotic,Perennial,FACW,0.27
Ptilimnium capillaceum,Native,Annual,OBL,2.73
Quercus laevis,Native,Perennial,Upland,none
Quercus laurifolia,Native,Perennial,FACW,4
Quercus nigra,Native,Perennial,FACW,2.5
Quercus virginiana,Native,Perennial,Not listed,4.85
Reimarochloa oligostachya,Native,Perennial,FACW,1.75
Rhexia alifanus,Native,Perennial,FACW,4.6
Rhexia cubensis,Native,Perennial,FACW,7.22
Rhexia mariana,Native,Perennial,FACW,4
Rhexia nashii,Native,Perennial,FACW,7.8
Rhexia nuttallii,Native,Perennial,FACW,7.93
Rhexia petiolata,Native,Perennial,FACW,7.9
Rhexia salicifolia,Native,Perennial,OBL,7.14
Rhexia virginica,Native,Perennial,FACW,3.8
Rhizophora mangle,Native,Perennial,OBL,3
Rhododendron canescens,Native,Perennial,Not listed,none
Rhododendron viscosum,Native,Perennial,FACW,5.33
Rhodomyrtus tomentosa,Exotic,Perennial,FAC,0
Rhus copallinum,Native,Perennial,Not listed,3.65
Rhynchospora baldwinii,Native,Perennial,FACW,6.44
Rhynchospora caduca,Native,Perennial,FACW,7.61
Rhynchospora capitellata (syn. Rhynchospora leptocarpa),Native,Perennial,FACW,6.4
Rhynchospora cephalantha,Native,Perennial,OBL,6.19
Rhynchospora chalarocephala,Native,Perennial,FACW,3.5
Rhynchospora chapmanii,Native,Perennial,OBL,3.33
Rhynchospora corniculata,Native,Perennial,OBL,4
Rhynchospora curtissii,Native,Perennial,FACW,3.75
Rhynchospora debilis,Native,Perennial,FACW,7.8
Rhynchospora divergens,Native,Annual/Perennial,OBL,5.53
Rhynchospora fascicularis,Native,Perennial,FACW,5.92
Rhynchospora fernaldii,Native,Perennial,FACW,4.77
Rhynchospora filifolia,Native,Perennial,FACW,8.13
Rhynchospora globularis,Native,Perennial,FACW,3.45
Rhynchospora glomerata,Native,Perennial,FACW,4.13
Rhynchospora inundata,Native,Perennial,OBL,4
Rhynchospora megalocarpa,Native,Perennial,Upland,none
Rhynchospora microcarpa,Native,Perennial,OBL,5.29
Rhynchospora microcephala,Native,Perennial,FACW,3.5
Rhynchospora miliacea,Native,Perennial,OBL,4.67
Rhynchospora nitens (syn. Psilocarya nitens),Native,Annual,OBL,4
Rhynchospora odorata,Native,Perennial,FACW,4.33
Rhynchospora perplexa,Native,Perennial,FACW,5.2
Rhynchospora pleiantha,Native,Perennial,FACW,4.63
Rhynchospora pusilla,Native,Perennial,FACW,7.54
Rhynchospora rariflora,Native,Perennial,FACW,8.63
Rhynchospora scirpoides (syn. Psilocarya scirpoides),Native,Annual,OBL,3.29
Rhynchospora tracyi,Native,Perennial,OBL,8
Rhynchospora wrightiana,Native,Perennial,FACW,7.8
Ricciocarpus natans,Native,Perennial,OBL,6
Richardia scabra,Exotic,Annual,Not listed,0
Ricinus communis,Exotic,Annual/Perennial,Upland,0
Rorippa nasturtium-aquaticum,Exotic,Perennial,OBL,2.93
Rorippa teres,Native,Annual,OBL,4.2
Rosa palustris,Native,Perennial,OBL,6.01
Rotala rotundifolia,Exotic,Perennial,OBL,0
Roystonea regia (syn. Roystonea elata),Native,Perennial,FACW,3.13
Rubus argutus (syn. Rubus betulifolius),Native,Perennial,FAC,3.56
Rubus cuneifolius,Native,Perennial,FAC,3.9
Rubus trivialis,Native,Perennial,FAC,2.6
"Ruellia simplex (syn. Ruellia brittoniana, R. tweediana)",Exotic,Perennial,FAC,0
Rumex crispus,Exotic,Perennial,FACW,0
Rumex obovatus,Exotic,Perennial,FACW,none
Rumex verticillatus,Native,Perennial,FACW,3.17
Ruppia maritima,Native,Perennial,OBL,7.24
Sabal minor,Native,Perennial,FACW,none
Sabal palmetto,Native,Perennial,FAC,2.85
Sabatia brevifolia,Native,Annual,FACW,7.8
Sabatia campanulata,Native,Perennial,FACW,4.4
Sabatia gentianoides,Native,Annual,FACW,none
Sabatia grandiflora,Native,Annual,FACW,6
Saccharum baldwinii (syn. Erianthus strictus),Native,Perennial,OBL,5
Saccharum brevibarbe (syn. Erianthus brevibarbis),Native,Perennial,FACW,none
Saccharum coarctatum,Native,Perennial,Not listed,none
Saccharum giganteum (syn. Erianthus giganeus),Native,Perennial,OBL,5.5
Sacciolepis indica,Exotic,Annual,FAC,0.92
Sacciolepis striata,Native,Perennial,OBL,5.35
Sagittaria filiformis (syn. Sagittaria stagnorum),Native,Perennial,OBL,7.24
Sagittaria graminea,Native,Perennial,OBL,5.53
Sagittaria isoetiformis,Native,Perennial,OBL,7
Sagittaria kurziana,Native,Perennial,OBL,9.75
Sagittaria lancifolia,Native,Perennial,OBL,3
Sagittaria latifolia,Native,Perennial,OBL,3.5
Sagittaria subulata,Native,Perennial,OBL,7
Salicornia bigelovii,Native,Annual,OBL,none
Salix babylonica,Exotic,Perennial,OBL,0
Salix caroliniana,Native,Perennial,OBL,2.95
Salix eriocephala,Native,Perennial,OBL,4
Salix floridana,Native,Perennial,OBL,7.24
Salix nigra,Native,Perennial,OBL,2.13
Salvinia minima,Exotic,Perennial,OBL,0
Sambucus nigra (syn. Sambucus canadensis),Native,Perennial,FAC,1.48
Samolus,Native,Perennial,OBL,5.67
Sapium sebiferum,Exotic,Perennial,FAC,0
Sarcostemma clausum,Native,Perennial,FACW,3.81
Sarracenia flava,Native,Perennial,OBL,7
Sarracenia leucophylla,Native,Perennial,OBL,7
Sarracenia minor,Native,Perennial,FACW,5.67
Sarracenia rosea (syn. Sarracenia purpurea),Native,Perennial,OBL,7.67
Sarracenia rubra,Native,Perennial,OBL,8.33
Saururus cernuus,Native,Perennial,OBL,6.5
Schinus terebinthifolius,Exotic,Perennial,FAC,0
Schizachyrium scoparium,Native,Perennial,FAC,5.44
Schoenolirion albiflorum,Native,Perennial,FACW,9.1
Schoenoplectus americanus (syn. Scirpus americanus),Native,Perennial,OBL,6.5
Schoenoplectus californicus (syn. Scirpus californicus),Native,Perennial,OBL,5
Schoenoplectus etuberculatus (syn. Scirpus etuberculatus),Native,Perennial,OBL,4.67
Schoenoplectus pungens (syn. Scirpus pungens),Native,Perennial,OBL,4
Schoenoplectus robustus (syn. Scirpus robustus),Native,Perennial,OBL,5
Schoenoplectus tabernaemontani (syn. Scirpus validus),Native,Perennial,OBL,5.55
Scirpus cyperinus,Native,Perennial,OBL,3.5
Scleria baldwinii,Native,Perennial,FACW,8.67
Scleria ciliata,Native,Perennial,FACW,3.67
Scleria georgiana,Native,Perennial,FACW,8.78
Scleria lacustris,Exotic,Perennial,FACW,0
Scleria microcarpa,Exotic,Perennial ,FACW,0
Scleria reticularis,Native,Annual,FACW,6.79
Scleria triglomerata,Native,Perennial,FACW,6.74
Scoparia dulcis,Native,Perennial,FAC,2.36
Scutellaria racemosa,Exotic,Perennial,OBL,none
Senna obtusifolia,Exotic,Annual/Perennial,Not listed,1.01
Senna occidentalis,Exotic,Annual/Perennial,Not listed,0.37
Serenoa repens,Native,Perennial,Upland,7.03
Sesbania drummondii,Native,Perennial,FAC,1.8
Sesbania herbacea (syn. Sesbania exaltata),Native,Annual/Perennial,FAC,1
Sesbania punicea,Exotic,Perennial,FAC,0
Sesbania vesicaria,Native,Annual,FAC,1.44
Sesuvium maritimum,Native,Annual,FACW,none
Setaria magna,Native,Annual,OBL,3.25
Setaria parviflora (syn. Setaria geniculata),Native,Perennial,FAC,2.5
Seymeria cassioides,Native,Annual,FAC,none
Sida rhombifolia,Native,Annual/Perennial,Not listed,1.65
Smilax auriculata,Native,Perennial,Not listed,3.96
Smilax bona-nox,Native,Perennial,Not listed,3.78
Smilax glauca,Native,Perennial,Not listed,2.7
Smilax laurifolia,Native,Perennial,Not listed,4
Smilax pumila,Native,Perennial,Not listed,6.01
Solanum americanum,Native,Annual/Perennial,Not listed,1.16
Solanum carolinense,Native,Perennial,Not listed,2.13
Solanum tampicense,Exotic,Perennial,Not listed,0
Solanum viarum,Exotic,Perennial,Not listed,0
Solidago canadensis,Native,Perennial,Not listed,2.45
Solidago fistulosa,Native,Perennial,FACW,4.49
Solidago latissimifolia (syn. Solidago elliottii),Native,Perennial,OBL,7.45
Solidago leavenworthii,Native,Perennial,FACW,2.73
Solidago rugosa,Native,Perennial,FAC,3.75
Solidago sempervirens,Native,Perennial,FACW,4.36
Solidago stricta,Native,Perennial,FACW,5.49
Solidago tortifolia,Native,Perennial,Not listed,6.96
Sorghastrum secundum,Native,Perennial,Not listed,7.73
Sorghum bicolor,Exotic,Annual,Not listed,0.11
Sparganium americanum,Native,Perennial,OBL,6.5
Spartina alterniflora,Native,Perennial,OBL,7.94
Spartina bakeri,Native,Perennial,FACW,5.98
Spartina patens,Native,Perennial,FACW,5.23
Spermacoce glabra,Native,Perennial,FACW,4
Spermacoce remota (syn. Spermacoce assurgens),Native,Annual/Perennial,Not listed,3.09
Spermacoce verticillata,Exotic,Perennial,Not listed,0
Sphagneticola trilobata (syn. Wedelia trilobata),Exotic,Perennial,FACW,0
Sphagnum,Native,Perennial,OBL,7.43
Sphenoclea zeylanica,Exotic,Annual,FACW,3
Spirodela polyrhiza,Native,Perennial,OBL,2.95
Sporobolus domingensis,Native,Perennial,Not listed,2.47
Sporobolus indicus,Exotic,Perennial,Not listed,0.99
Stenotaphrum secundatum,Native,Perennial,Not listed,1.57
Stillingia aquatica,Native,Perennial,OBL,8.32
Stillingia sylvatica,Native,Perennial,FAC,7.3
Styrax americanus,Native,Perennial,OBL,4.5
Styrax grandifolius,Native,Perennial,OBL,6.25
Suaeda linearis,Native,Annual,OBL,none
Symphyotrichum bahamense,Native,Annual/Biennial,OBL,none
Symphyotrichum carolinianum (syn. Aster carolinianus),Native,Perennial,OBL,3.93
Symphyotrichum dumosum (syn. Aster dumosus),Native,Perennial,FAC,2.53
Symphyotrichum elliottii (syn. Aster elliottii),Native,Perennial,OBL,6.76
Symphyotrichum pilosum (syn. Aster pilosus),Native,Perennial,Not listed,2.38
Symphyotrichum subulatum (syn. Aster subulatus),Native,Perennial,OBL,5.74
Symplocos tinctoria,Native,Perennial,Not listed,none
Syngonanthus flavidulus,Native,Perennial,FACW,6.93
Syzygium cumini,Exotic,Perennial,FAC,0
Taxodium,Native,Perennial,OBL,7
Taxodium ascendens,Native,Perennial,OBL,7
Taxodium distichum,Native,Perennial,OBL,7
Teucrium canadense,Native,Perennial,FACW,6.44
Thalia geniculata,Native,Perennial,OBL,6
Thelypteris dentata,Exotic,Perennial,FACW,1.62
Thelypteris hispidula,Native,Perennial,FACW,2.69
Thelypteris interrupta,Native,Perennial,FACW,6.74
Thelypteris kunthii,Native,Perennial,FACW,2.83
Thelypteris ovata,Native,Perennial,FACW,2.86
Thelypteris palustris pubescens,Native,Perennial,FACW,5.31
Thespesia populnea,Exotic,Perennial,FAC,0
Tilia americana,Native,Perennial,FACW,5.55
Toxicodendron radicans,Native,Perennial,Not listed,1.44
Toxicodendron vernix,Native,Perennial,FACW,7.5
Tradescantia ohiensis,Native,Perennial,Not listed,none
Tradescantia spathacea,Exotic,Perennial,Not listed,none
Tradescantia zebrina,Exotic,Perennial,Upland,0
Triadenum virginicum,Native,Perennial,OBL,5
Triadenum walteri,Native,Perennial,OBL,7.92
Tripsacum dactyloides,Native,Perennial,FAC,6.03
Typha,Native,Perennial,OBL,1
Typha domingensis,Native,Perennial,OBL,1
Typha latifolia,Native,Perennial,OBL,1
Ulmus americana,Native,Perennial,FACW,5
Ulmus parvifolia,Exotic,Perennial,FACW,0
Uniola paniculata,Native,Perennial,Upland,6.43
Urena lobata,Exotic,Perennial,Upland,0
Urochloa mutica (syn. Brachiaria mutica),Exotic,Perennial,FACW,0
Utricularia,Native,Perennial,OBL,6
Utricularia cornuta,Native,Annual/Perennial,OBL,5
Utricularia floridana,Native,Perennial,OBL,6.34
Utricularia foliosa,Native,Perennial,OBL,5
Utricularia gibba (syn. Utricularia biflora),Native,Annual/Perennial,OBL,6.37
Utricularia inflata,Native,Perennial,OBL,5.85
Utricularia juncea,Native,Annual/Perennial,OBL,6.24
Utricularia olivacea,Native,Annual/Perennial,OBL,3.33
Utricularia purpurea,Native,Annual/Perennial,OBL,6.5
Utricularia radiata,Native,Annual/Perennial,OBL,6.01
Utricularia resupinata,Native,Annual/Perennial,OBL,5.46
Utricularia subulata,Native,Annual/Perennial,OBL,7.09
Vaccinium corymbosum,Native,Perennial,FACW,5.63
Vaccinium darrowii,Native,Perennial,Not listed,7.15
Vaccinium elliottii,Native,Perennial,FAC,4
Vaccinium myrsinites,Native,Perennial,Upland,5.64
Vallisneria americana,Native,Perennial,OBL,7
Verbena bonariensis,Exotic,Annual/Perennial,Not listed,0.56
Verbena brasiliensis,Exotic,Perennial,Not listed,0.35
Viburnum nudum,Native,Perennial,FACW,5.55
Vigna luteola,Native,Perennial,Not listed,2.31
Viola lanceolata,Native,Perennial,OBL,5.32
Viola primulifolia,Native,Perennial,FACW,6.11
Vitex trifolia,Exotic,Perennial,Not listed,0
Vitis aestivalis,Native,Perennial,Not listed,2.48
Vitis cinerea,Native,Perennial,Not listed,none
Vitis rotundifolia,Native,Perennial,Not listed,none
Websteria confervoides (syn. Eleocharis confervoides),Native,Perennial,OBL,7
Wolffiella,Native,Perennial,OBL,1
Woodwardia areolata,Native,Perennial,OBL,6.5
Woodwardia virginica,Native,Perennial,FACW,3.5
Xanthosoma sagittifolium,Exotic,Perennial,FACW,0
Xyris ambigua,Native,Perennial,OBL,6.43
Xyris baldwiniana,Native,Perennial,OBL,6.97
Xyris brevifolia,Native,Perennial,OBL,7.2
Xyris caroliniana,Native,Perennial,FACW,6.14
Xyris difformis,Native,Perennial,OBL,7.5
Xyris drummondii,Native,Perennial,OBL,3.4
Xyris elliottii,Native,Perennial,OBL,6.69
Xyris fimbriata,Native,Perennial,OBL,5
Xyris flabelliformis,Native,Perennial,OBL,5
Xyris isoetifolia,Native,Perennial,OBL,9.75
Xyris jupicai,Native,Annual,FACW,3.51
Xyris laxifolia (syn. Xyris iridifolia),Native,Perennial,OBL,5
Xyris laxifolia iridifolia,Native,Perennial,OBL,5
Xyris platylepis,Native,Perennial,OBL,5.32
Xyris serotina,Native,Perennial,OBL,4
Xyris smalliana,Native,Perennial,OBL,7.8
Zizania aquatica,Native,Annual,OBL,7.5
Zizaniopsis miliacea,Native,Perennial,OBL,6.21
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
